candidate,family,category,severity,split,response_single,response_average,cka_time,cka_delta,rsa_state,rsa_temporal,gpfa_position,gpfa_velocity,gpfa_speed,gpfa_acceleration,gpfa_rmse_quality
smooth_0.5,smooth,temporal,0.5,test,0.18691982188153416,0.2973577170909457,0.45969296169382384,0.09476157567025792,0.4721630205561635,0.5873671929688107,0.7162084145828795,0.4811237146452773,0.539420389338277,0.39476496166451513,-0.7187980055449946
smooth_1.0,smooth,temporal,1.0,selection,0.1823147962224496,0.29026274193006,0.4559576536425036,0.1077385270889432,0.45702981280263283,0.5603694855868768,0.698774699407418,0.4703134017593131,0.47174099808319137,0.4180555414982077,-0.7278624440687885
smooth_1.0,smooth,temporal,1.0,test,0.18752249684243422,0.29841216346909255,0.4615188906356933,0.10301030276027379,0.4749613036986824,0.5930602932625176,0.7166034030173734,0.48622558171520297,0.5411087155348321,0.39862847891690684,-0.7184006189011791
smooth_2.0,smooth,temporal,2.0,selection,0.18302245333450398,0.29159013000161693,0.45901443386218316,0.09726681489190891,0.4622047669133962,0.5675160094371419,0.6991363823673489,0.4712271162860201,0.47170503401037744,0.4217377813548186,-0.7274228867209444
smooth_2.0,smooth,temporal,2.0,test,0.1880925007140279,0.29961325554699564,0.46483854066237507,0.09294761433503433,0.4797719000859788,0.6025934362233655,0.7168954469495241,0.48836578825912763,0.5415956094640195,0.39972319493747255,-0.7182804511894707
smooth_4.0,smooth,temporal,4.0,selection,0.1816551131636227,0.2899604390840087,0.4606833659425958,0.07122406254538198,0.4662075132943865,0.5718568724837683,0.6975016306506608,0.4550644501882424,0.46348291649371676,0.40947893677829,-0.7291572400316644
smooth_4.0,smooth,temporal,4.0,test,0.18630008954058297,0.297424466784433,0.46597526281299273,0.06716016458938677,0.4853498258749656,0.6099918887987644,0.713910266646435,0.4760911902306879,0.5355342839154343,0.3824252030858002,-0.7220470354118065
smooth_8.0,smooth,temporal,8.0,selection,0.17365102784116046,0.27795129242434125,0.4465117159066463,0.03755020037157895,0.4537841386827151,0.5596957003225961,0.6800964614363981,0.3315800088711375,0.43293656507496714,0.2669115621695835,-0.74654677047075
smooth_8.0,smooth,temporal,8.0,test,0.17728112187152004,0.2839513919005656,0.4486168531775087,0.03432968400155092,0.47339060599356686,0.5863465890361744,0.6908551808943978,0.36060639138644407,0.5009600786597763,0.2262714923396604,-0.7456159418750937
smooth_16.0,smooth,temporal,16.0,selection,0.15848861149354787,0.25415427586877426,0.41673747315052995,0.012079824031903637,0.421867981551285,0.5309712330137001,0.6383698781837083,0.15371570968169346,0.37122329631414336,0.0582532087241908,-0.7840104934674489
smooth_16.0,smooth,temporal,16.0,test,0.16142567428022978,0.25932007750202146,0.41280136095896186,0.01092247945441383,0.43357044124370964,0.5520088000977788,0.637021783877022,0.1675100364859736,0.4272145742723587,0.01713173253046315,-0.7926731759225729
blocks_2,block_permute,temporal,2.0,selection,0.025590495979393914,0.037998896503398466,0.25694999775532484,0.06244323250013279,0.14005493477402114,0.16085097241821206,0.12991484952659793,0.018240031009384216,0.07855110817275594,0.008320664644184777,-1.1530508584395482
blocks_2,block_permute,temporal,2.0,test,0.02277014972950356,0.033822205951016066,0.24968016213410624,0.05855307856516852,0.162392327520377,0.15118605021537276,0.0999469284824859,0.013572050737399284,0.16700651616616932,-0.022207851438434338,-1.173114776277132
