metric,direction,null,observed_mean,observed_ci_low,observed_ci_high,null_mean,null_ci_low,null_ci_high,paired_superiority,split_null_failures,split_null_failure_rate,standardized_separation,n_splits
velocity_direction_cosine,higher,condition_shuffle,0.6368334688558647,0.5979271560986006,0.6723456417975543,-0.004303954975507751,-0.08988258399503901,0.07645009310390292,1.0,0,0.0,19.042639613454,200
velocity_direction_cosine,higher,frame_shuffle,0.6368334688558647,0.5979271560986006,0.6723456417975543,0.0065317969406432416,-0.08181704139423646,0.09471825942008193,1.0,0,0.0,19.41806351993738,200
velocity_direction_cosine,higher,independent_neuron_shift,0.6368334688558647,0.5979271560986006,0.6723456417975543,0.0024465083394387514,-0.07934043334710997,0.09108873255523099,1.0,0,0.0,18.393586773609847,200
velocity_direction_cosine,higher,time_reversal,0.6368334688558647,0.5979271560986006,0.6723456417975543,0.13139889969069846,0.10620198759537765,0.15860989814368098,1.0,0,0.0,30.117470666129,200
zero_lag_correlation,higher,block_shuffle_16,0.8635211560989328,0.8263140614373808,0.8949138258538609,0.2867166189145922,0.17967076845825047,0.42903568982271095,1.0,0,0.0,11.596083177119466,200
zero_lag_correlation,higher,block_shuffle_32,0.8635211560989328,0.8263140614373808,0.8949138258538609,0.3039668167448992,0.15868185569000395,0.4986589107771383,1.0,0,0.0,8.80132888061581,200
zero_lag_correlation,higher,block_shuffle_4,0.8635211560989328,0.8263140614373808,0.8949138258538609,0.35385464636122377,0.26414889981188255,0.4342035336430674,1.0,0,0.0,15.350176613205795,200
zero_lag_correlation,higher,block_shuffle_8,0.8635211560989328,0.8263140614373808,0.8949138258538609,0.3149443648076556,0.21791123664991655,0.41996420022783715,1.0,0,0.0,14.017361249625772,200
zero_lag_correlation,higher,circular_shift,0.8635211560989328,0.8263140614373808,0.8949138258538609,0.18473080200434708,0.09878951535299564,0.287613724642638,1.0,0,0.0,18.332820029896638,200
zero_lag_correlation,higher,condition_shuffle,0.8635211560989328,0.8263140614373808,0.8949138258538609,-0.01765061119992308,-0.10713804841675201,0.08588345486791737,1.0,0,0.0,22.632769603688153,200
zero_lag_correlation,higher,frame_shuffle,0.8635211560989328,0.8263140614373808,0.8949138258538609,0.3543425055468873,0.28288543504763053,0.433186568764853,1.0,0,0.0,16.30682243635791,200
zero_lag_correlation,higher,independent_neuron_shift,0.8635211560989328,0.8263140614373808,0.8949138258538609,0.4142465484518759,0.350468604973509,0.47814355986630674,1.0,0,0.0,16.731301014181458,200
zero_lag_correlation,higher,time_reversal,0.8635211560989328,0.8263140614373808,0.8949138258538609,0.30364836505944,0.28287976089024586,0.32170408858107924,1.0,0,0.0,39.4607993388259,200
